participante,video,ms_vmax,std_saccade_amplitude,std_saccade_peak_velocity,ms_c,mean_fixation_duration,mean_saccade_duration,mean_saccade_q_ratio
Samir,Samir_9_puntos_intento_8,381.0437134369142,2.9645588101688416,53.054702026180934,8.22899967588349,0.028997300813008168,0.021486475675675642,1.1034383514874118
Samir,Samir_9_puntos_intento_9,404.7599880231751,3.1502993593826973,56.962436593775834,8.528720040274486,0.02766051715039575,0.021582886243386272,1.0984273168745895
Stephanie,Stephanie_9_puntos_intento_10,669.3760529636813,3.226244825953538,68.5558456583858,15.428387279985724,0.03000460055096421,0.021372809917355344,1.09481173329514
Stephanie,Stephanie_9_puntos_intento_1,660.9524541441908,3.6524121356035137,80.0044070790652,13.741589992428205,0.045199278985507185,0.019565213768116,1.0874029973046888
Stephanie,Stephanie_9_puntos_intento_2,598.1481862229092,3.534057088827087,75.07314858327109,11.621796746869451,0.039120425925925906,0.018472597523219836,1.0658470034112717
Stephanie,Stephanie_9_puntos_intento_3,595.5227684969526,3.418194467068259,72.24449031257448,11.89310562252283,0.038694121951219504,0.018195703363914382,1.0546290027885656
Stephanie,Stephanie_9_puntos_intento_4,647.5334897938347,3.530837143669245,74.05343559893672,14.828110494409582,0.037149579439252345,0.020859167701863354,1.0910303594762676
Stephanie,Stephanie_9_puntos_intento_5,601.9544187905758,3.5043694307235302,79.04572712380033,11.626767682967985,0.03633542546583849,0.021625109034267925,1.1394368917763709
Stephanie,Stephanie_9_puntos_intento_6,642.9530066411079,3.3208295200870324,72.23468635995488,14.04363930445216,0.036277517964071915,0.019594522522522473,1.0618134513990742
Stephanie,Stephanie_9_puntos_intento_7,611.6162712526882,3.578183082471651,74.58508382173093,12.863658760329422,0.04436779655172413,0.020011553633217997,1.0941025347508864
Stephanie,Stephanie_9_puntos_intento_8,629.7484885494395,3.3839588170611155,72.70867775400355,13.466873530920097,0.03362834808259588,0.021361820058997043,1.117633471258306
Stephanie,Stephanie_9_puntos_intento_9,616.9148145936346,3.2577914440167466,64.57802400035928,14.952556461400983,0.031700288184438014,0.022022095100864572,1.0866021794980565
test,test_9_puntos_intento_10,562.3596037733738,4.337104045715685,87.60416552490929,10.541903823545077,0.049690211895910774,0.019609665427509294,1.0929978475816784
test,test_9_puntos_intento_1,580.9842384378142,4.700486562382661,77.67913502929095,12.813303302860675,0.04027336334405139,0.019731132258064575,1.074291592484076
test,test_9_puntos_intento_2,596.6549307568913,4.580601946550489,81.06604748069974,13.033857643995479,0.043207763698630205,0.02056313993174054,1.0764284643013962
test,test_9_puntos_intento_3,513.1159691785748,4.476239723374018,83.33720879951386,9.341377799854019,0.04368508304498265,0.020891243055555606,1.106415405891671
