Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
10.500000,315,0.236191,0.239138,-0.001485,-0.015436,False
10.533333,316,0.243231,0.241620,0.002482,0.003966,False
10.566667,317,0.244390,0.245007,0.003387,0.000905,False
10.600000,318,0.248390,0.246993,0.001986,-0.001401,False
10.633333,319,0.246312,0.247087,0.000094,-0.001892,False
10.666667,320,0.246034,0.246041,-0.001046,-0.001140,False
10.700000,321,0.245749,0.244850,-0.001191,-0.000145,False
10.733333,322,0.242927,0.244615,-0.000235,0.000957,False
10.766667,323,0.246458,0.245692,0.001077,0.001312,False
10.800000,324,0.246847,0.247515,0.001823,0.000746,False
10.833333,325,0.251416,0.250850,0.003335,0.001512,False
10.866667,326,0.251867,0.252478,0.001628,-0.001707,False
10.900000,327,0.255118,0.252874,0.000396,-0.001232,False
10.933333,328,0.251609,0.252930,0.000056,-0.000340,False
10.966667,329,0.251342,0.253150,0.000220,0.000165,False
11.000000,330,0.255453,0.252980,-0.000170,-0.000390,False
11.033333,331,0.253814,0.254869,0.001889,0.002059,False
11.066667,332,0.254338,0.255050,0.000181,-0.001708,False
11.100000,333,0.257066,0.254802,-0.000248,-0.000429,False
11.133333,334,0.252598,0.255222,0.000420,0.000668,False
11.166667,335,0.255527,0.253824,-0.001398,-0.001818,False
11.200000,336,0.253676,0.252643,-0.001181,0.000216,False
11.233333,337,0.250249,0.253392,0.000750,0.001931,False
11.266667,338,0.254647,0.253777,0.000385,-0.000365,False
11.300000,339,0.256248,0.255086,0.001309,0.000925,False
11.333333,340,0.255288,0.254979,-0.000107,-0.001417,False
11.366667,341,0.254019,0.254180,-0.000799,-0.000692,False
11.400000,342,0.250996,0.252817,-0.001363,-0.000564,False
11.433333,343,0.255249,0.253068,0.000251,0.001614,False
11.466667,344,0.251629,0.253383,0.000315,0.000064,False
11.500000,345,0.255836,0.254738,0.001355,0.001040,False
11.533333,346,0.253523,0.254574,-0.000164,-0.001519,False
11.566667,347,0.256192,0.254269,-0.000304,-0.000140,False
11.600000,348,0.252301,0.252996,-0.001273,-0.000968,False
11.633333,349,0.251038,0.252067,-0.000929,0.000344,False
11.666667,350,0.253001,0.252384,0.000317,0.001246,False
11.700000,351,0.252232,0.253363,0.000979,0.000662,False
11.733333,352,0.256944,0.254646,0.001283,0.000304,False
11.766667,353,0.252954,0.254867,0.000221,-0.001062,False
11.800000,354,0.256023,0.255125,0.000257,0.000036,False
11.833333,355,0.253577,0.253541,-0.001584,-0.001841,False
11.866667,356,0.253849,0.253129,-0.000412,0.001172,False
11.900000,357,0.250824,0.253211,0.000082,0.000494,False
11.933333,358,0.253680,0.253264,0.000053,-0.000029,False
